Pinyin Name,herb-id
CHUAN JIN PI,H897
CHUAN JU,H898
CHUAN LI GUO,H899
CHUAN LIAN,H900
CHUAN LIAN PI,H901
CHUAN LIAN ZI,H902
CHUAN LONG SHU YU,H903
CHUAN MU TONG,H904
CHUAN MU XIANG,H905
CHUAN NIU XI,H906
CHUAN PO SHI,H907
CHUAN QIAN CUI QUE HUA,H908
CHUAN QIONG,H909
CHUAN QIONG JIN GAO,H910
CHUAN SHAN CHENG,H911
CHUAN SHAN JIA,H912
CHUAN SHAN LONG,H913
CHUAN SHANG LONG MI GOU TENG,H914
CHUAN SHI JIAN,H915
CHUAN WU,H916
CHUAN XI ZHANG YA CAI,H917
CHUAN XIN LIAN,H918
CHUAN XIN LIAN GAN JIN GAO,H919
CHUAN XIN LIAN JIN GAO,H920
CHUAN XIN LIAN NONG SUO YE,H921
CHUAN XIN LIAN YE,H922
CHUAN XING WU TOU,H923
